Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral,Na2O + K2O,TAS,Rocknames
2002 SOUTH FISSURE_CPX3B MIC,54.1,1.56,17.77,7.36,0.21,2.07,5.31,4.46,3.72,0.17,,Glass,8.18,S2,"['Basaltic \nTrachy-\nandesite', 'Monzo-\ndiorite']"
MFR2B_MI21,48.93,1.48,15.81,6.18,,4.86,11.71,4.25,1.89,0.62,,Glass,6.14,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
BPB_5,49.6,0.88,17.75,6.33,0.11,6.9,9.9,2.91,0.76,0.24,,Glass,3.67,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
782A-15X-3-104-106_31,71.29,0.58,12.2,3.33,0.21,0.43,2.5,3.65,0.77,0.1,,Glass,4.42,O3,"['Dacite', 'Granodiorite']"
P2-3A_P2-3A-11A,48.61,0.79,17.32,10.74,0.21,6.18,10.74,1.93,0.34,0.15,,Glass,2.27,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
NK-13-2-HF-H_10-13B,50.06,1.9,14.77,11.19,0.23,4.93,7.58,3.34,2.09,0.71,0.01,Glass,5.43,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
1974-5-2A_5-2A,52.05,0.67,18.73,8.76,0.18,4.29,10.16,3.67,0.61,0.12,,Glass,4.28,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
8LM-331A_D8d_redone_8LM-331A_D8d_redone,52.82,1.25,16.17,9.74,0.19,3.9,9.54,3.67,0.74,0.02,,Glass,4.41,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
FP-20-49 (116289-15)_15-3-4B,57.93,0.82,16.81,7.46,0.15,3.81,6.66,3.37,1.47,0.26,,Glass,4.84,O2,"['Andesite', 'Diorite']"
EA 10_91EA-11-3-4,52.11,1.69,17.52,6.35,0.09,7.75,9.55,4.05,0.7,0.4,,Glass,4.75,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
04 Sari-15-02_Sari-15-03_3,48.23,0.78,18.02,7.93,0.14,3.42,14.32,1.18,0.26,0.06,,Glass,1.44,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
8LM-331A_A21m_8LM-331A_A21m,53.02,1.25,15.9,10.11,0.18,5.0,9.29,3.18,0.71,0.06,,Glass,3.89,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
U1438_U1438E-27R5W56-I4 ,55.82,0.57,15.44,7.77,0.12,5.71,10.39,2.39,0.35,0.04,,Glass,2.74,O1,"['Basaltic Andesite', 'Gabbroic Diorite']"
CC-01_CC-01-01 ,51.88,1.62,16.49,6.23,0.13,4.74,8.11,2.26,4.02,1.39,,Glass,6.279999999999999,S2,"['Basaltic \nTrachy-\nandesite', 'Monzo-\ndiorite']"
U1438_U1438D-18R6W-I3 ,50.58,1.1,14.98,12.7,0.22,5.87,10.27,2.54,0.58,0.19,,Glass,3.12,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
200552_BIO7B,75.28,0.09,12.62,0.77,,0.03,0.52,2.51,5.13,0.01,,Glass,7.64,R,"['Rhyolite', 'Granite']"
8LM-338_8LM-338_A29,49.19,0.94,18.33,10.95,0.21,5.2,10.97,3.24,0.4,,,Glass,3.64,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
TB02-1_04-029-2.1,47.61,1.51,18.11,8.07,0.08,8.01,10.37,2.72,0.56,0.28,,Glass,3.2800000000000002,Ba,"['Alkalic \nBasalt', 'Alkalic \nGabbro']"
BT_MI-18,59.91,0.59,17.9,3.74,0.23,0.23,1.93,5.15,7.15,0.05,,Glass,12.3,T1,"['Trachyte', 'Syenite']"
BPB_10B,50.1,0.92,17.47,6.5,0.11,5.39,10.87,2.95,0.78,0.25,,Glass,3.7300000000000004,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
CM02-2_03-013-20.2,51.12,1.2,17.93,7.03,0.09,7.18,11.4,3.14,2.32,0.58,,Glass,5.46,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
782A-14X-2-9-11_23,51.2,0.67,14.8,11.32,0.19,5.04,9.18,2.34,0.24,0.08,,Glass,2.58,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
_GTg3-12,51.25,0.36,12.78,7.54,0.13,11.02,10.24,1.62,0.31,,0.64,Glass,1.9300000000000002,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
_EB-2-5-1,50.73,1.21,18.5,6.73,0.12,7.58,9.9,4.42,0.63,0.35,,Glass,5.05,S1,"['Trachy-\nbasalt', 'Monzo-\ngabbro']"
08WR-16_08WR-16-11B,41.68,4.09,9.64,12.05,0.19,10.77,16.6,1.96,2.43,0.64,,Glass,4.390000000000001,U1,"['Tephrite', 'Foid Gabbro']"
08WR-20_08WR-20-3B,41.0,6.09,13.86,20.23,0.24,5.17,5.5,2.96,4.22,0.66,,Glass,7.18,F,"['Foidite', 'Foidolite']"
A2T_MI-26b,59.48,0.52,17.97,3.07,0.11,0.31,1.75,4.22,8.26,0.08,,Glass,12.48,T1,"['Trachyte', 'Syenite']"
E1_E1,49.09,1.86,17.88,10.32,0.18,3.44,7.94,4.65,2.57,0.91,,Glass,7.220000000000001,U1,"['Tephrite', 'Foid Gabbro']"
_GTg2-18,50.81,0.26,13.6,8.88,0.19,11.31,9.86,1.7,0.27,,1.59,Glass,1.97,Bs,"['Subalkalic \nBasalt', 'Subalkalic \nGabbro']"
