Citation,Volcano,SampleID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral,Host
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",GUGUAN,Gug11_8,52.49,0.91,15.69,9.68,0.23,4.73,7.59,3.12,0.95,0.19,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",PAGAN,Paga8_2,50.71,0.89,15.77,11.31,0.29,5.44,10.64,2.25,0.65,0.14,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_1,48.75,0.97,16.87,8.22,0.15,3.3,11.88,2.47,0.68,0.48,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_4,45.38,0.65,17.24,10.18,0.23,5.53,12.3,1.75,0.35,0.1,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_5,46.31,0.7,18.94,9.61,0.23,4.38,12.06,2.47,0.56,0.13,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_6,45.54,0.67,17.95,9.63,0.21,4.8,12.46,1.97,0.41,0.12,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_7,48.67,0.89,17.88,7.9,0.17,2.66,12.4,2.55,0.64,0.18,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_9,47.77,0.76,17.14,9.06,0.18,4.77,11.97,2.19,0.56,0.13,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_10,46.27,0.69,17.53,9.97,0.2,4.27,12.44,2.08,0.46,0.12,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_11,45.82,0.69,18.67,8.86,0.18,3.54,12.95,2.07,0.42,0.14,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_12A,53.5,0.76,16.55,6.62,0.18,2.89,10.31,3.04,0.86,0.23,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_12B,53.79,0.82,16.63,6.34,0.15,2.95,10.13,2.8,0.91,0.2,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_12C,50.12,0.81,17.82,7.12,0.15,3.17,11.81,2.31,0.71,0.16,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_13,47.94,0.85,17.32,10.06,0.2,3.7,11.95,2.54,0.61,0.17,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_14,47.76,0.82,17.01,9.13,0.2,3.65,12.16,2.31,0.55,0.16,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_15A,47.05,0.8,16.49,10.52,0.22,5.58,11.17,2.27,0.61,0.16,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr07_15B,47.4,0.85,16.63,10.3,0.19,5.48,11.19,2.32,0.65,0.16,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr05_1,50.18,1.07,16.98,10.17,0.23,3.13,10.43,3.19,0.91,0.23,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr05_4,47.49,1.12,15.31,11.5,0.23,3.64,11.01,3.22,0.83,0.26,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_3,51.2,0.76,16.34,11.63,0.26,3.49,8.54,3.35,0.93,0.23,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_5,46.34,0.6,17.73,9.66,0.19,5.62,11.82,1.96,0.4,0.1,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_7,49.18,0.78,17.1,9.24,0.19,4.38,11.69,2.21,0.54,0.16,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_11,47.32,0.83,18.41,9.25,0.16,4.18,12.3,2.07,0.47,0.3,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_12,47.86,0.77,16.28,10.13,0.23,5.07,11,2.18,0.53,0.13,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_13,49.88,0.79,16.38,8.65,0.2,4.76,9.95,2.68,0.81,0.19,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_14,47.41,0.77,18.35,8.9,0.17,4.6,11.89,2.05,0.57,0.15,,,Glass,Olivine
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",AGRIGAN,Agr04_15A,48.14,0.74,17.77,8.88,0.21,3.5,11.79,2.32,0.56,0.16,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-1a,46.2,1.71,19.83,6.83,0.15,2.41,8.89,5.94,2.11,0.95,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-3a,48.49,1.57,17.74,6.73,,2.07,11.04,5.03,2.34,0.6,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-3n,48.07,1.68,17.67,8.49,0.16,2.47,10.39,4.71,2.13,0.67,,0.08,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa -4n,46.3,1.71,18.89,6.04,0.05,1.85,14.11,5.15,1.61,0.55,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-5a ,44.81,1.67,17.52,7.83,0.2,2.53,16.58,4.14,1.46,0.74,,0.05,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-5n,46.09,1.77,17.75,6.86,0.12,3.18,14.8,5.03,1.42,0.59,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-6,44.85,1.8,18.53,6,0.06,1.67,15.36,4.78,1.64,0.88,,0.01,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-7a,52.01,2.07,19.66,5.41,0.15,1.51,12.01,4.71,2.07,0.7,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-7n,52.49,1.45,18.42,4.45,0.07,1.58,10.81,6.03,2.36,0.39,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-9,44.56,1.96,18.61,6.31,0.1,1.83,15.08,4.56,1.67,0.77,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-11,45.41,1.96,19.01,6.29,0.12,1.68,14.01,4.68,1.8,1.06,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa- D,47.71,1.97,15.58,6.88,0.19,1.83,8.88,6.75,3.58,0.91,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa- L,45.24,1.76,21.36,5.83,0.24,1.55,7.15,6.03,3.26,1.69,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa- O1,47.62,2.21,16.13,8.54,0.1,1.79,10.13,6.21,2.58,0.78,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-T1,44.19,1.72,16.16,7.3,0.22,3.12,16.11,4.51,0.99,0.66,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-T2,45.89,1.73,16.1,6.7,0,3.06,16.54,5.25,1.13,0.69,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-T3,45.49,1.59,16.02,6.84,0.19,2.85,16.97,4.89,1.17,0.69,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-T4,44.81,1.82,17,7.54,0.09,2.63,14.67,4.65,1.44,0.52,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-U1,49.61,2.45,18.01,5.72,0.12,1.34,6.82,6.54,2.9,0.87,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-U2,49.5,2.5,18.1,5.72,0.06,1.24,7.95,6.84,3.13,0.72,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-U3,49.37,2.47,17.19,6.7,0.14,1.35,8.67,5.84,3.64,0.87,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,Mt. Spagnolo_Spa-U4,49.46,2.2,17.46,6.39,0.16,1.57,9.67,6.37,2.75,0.83,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-00,49.38,0.88,10.64,8.55,0.09,9.37,13.68,1.97,0.85,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-01,48.38,1.12,11.16,8.32,0.21,6.48,14.79,1.69,1.03,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-03b,47.84,1.21,10.28,8.17,0.19,6.33,15.31,1.77,0.8,,,0.11,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-03c,47.98,1.26,10.34,8.36,0.16,7.68,14.5,1.84,0.81,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-05,47.92,1.37,10.24,8.88,,6.18,14.5,1.78,1.35,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-06b,47.68,0.99,10.26,8.51,0.15,9.16,14.04,1.74,0.93,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-06c,47.67,0.99,10.56,8.36,0.2,6.53,15.68,1.85,0.85,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-06n,47.78,1.11,11.64,7.43,0.16,4.79,15.27,2.21,0.93,0.39,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-07,48.89,1.04,10.25,8.29,0.12,6.9,15.08,1.59,0.98,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-08b,48.07,1.28,10.81,8.5,0.13,7.48,13.41,2.04,1.13,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-08c,47.78,1.23,10.56,8.32,0.14,5.98,14.64,1.94,1.15,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-09 a,48.9,1.27,11.24,7.66,0.22,5.39,15.97,1.97,1.03,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-09 n,46.59,1.08,10.48,7.73,0.15,9.25,14.09,1.7,0.93,0.32,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-10b,47.21,0.99,10.67,8.59,0.17,8.31,14.33,1.7,0.86,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-10c,46.5,1.44,11.84,7.9,0.11,4.97,15.81,1.95,0.69,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-11,48.17,1.12,11.18,8.62,0.15,8.26,13.63,2.07,1.24,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-12a,45.9,1.08,11.87,10.04,0.22,7.63,15.2,2.24,0.9,0.29,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-12b,47.47,0.97,11.38,8.64,0.24,6.98,14.19,1.66,0.96,0.26,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-13b,47.78,1.16,10.88,8.38,0.21,5.77,15.89,1.81,0.83,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-13c,47.61,1.07,10.68,8.48,0.17,6.15,15.9,1.81,0.72,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-14,47.55,1.15,10.07,8.73,,7.6,14.23,1.82,1.13,,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-21,44.58,0.98,10.46,8.22,0.18,8.97,14.6,1.48,1.09,0.33,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-24,45.55,1.65,10.37,9.05,0.19,7.36,13.45,1.91,0.89,0.09,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-25,46.14,0.86,10.03,8.62,0.23,8.79,14.37,1.75,0.7,0.42,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-26,47.04,1.36,10.96,7.82,0.2,5.12,15.85,2.02,0.83,0.74,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-28a,44.88,0.94,10,8.32,0.05,9.13,14.32,1.67,0.7,0.53,,0.05,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-28b,46.67,0.93,10.22,7.98,0.13,8.38,15.11,1.71,0.84,0.17,,,Glass,Olivine
"Gennaro, E., Iacono-Marziano, G., Paonita, A., Rotolo, S.G., Martel, C., Rizzo, A.L., Pichavant, M. and Liotta, M., 2019. Melt inclusions track melt evolution and degassing of Etnean magmas in the last 15 ka. Lithos, 324, pp.716-732.",ETNA,FS_ FS-B,44.48,0.91,9.7,8,0.1,9.44,13.99,1.51,0.92,0.17,,0.15,Glass,Olivine
