Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,br2-1-4-2012_br2-1-4-2012,51.2,1.0,17.34,10.43,0.2,5.08,9.99,3.45,0.57,0.2,,,Glass
"Manzini, M., Bouvier, A.S., Barnes, J.D., Bonifacie, M., Rose-Koga, E.F., Ulmer, P., Métrich, N., Bardoux, G., Williams, J., Layne, G.D. and Straub, S., 2017. SIMS chlorine isotope analyses in melt inclusions from arc settings. Chemical Geology, 449, pp.112-122.",SOUFRIERE,SVN4B_171a,46.0,1.2,17.9,9.05,0.13,7.87,14.68,3.23,0.31,,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,FLR03-1_04-017-15.1,48.92,1.53,17.48,10.18,0.16,7.2,10.33,3.17,0.51,0.35,,,Glass
"Johnson, E.R., Wallace, P.J., Delgado Granados, H., Manea, V.C., Kent, A.J., Bindeman, I.N. and Donegan, C.S., 2009. Subduction-related volatile recycling and magma generation beneath Central Mexico: insights from melt inclusions, oxygen isotopes and geodynamic models. Journal of Petrology, 50(9), pp.1729-1764.",CERRO SAN JUAN,CSJ-33_,51.93,1.13,19.04,6.27,0.11,4.69,9.31,3.49,0.91,0.25,,,Glass
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,S82-11_3-16-B,69.97,0.29,13.86,2.13,,0.34,1.34,4.12,3.35,,,,Glass
"Rasmussen, D.J., Plank, T.A., 2021. Melt inclusion data for the central-eastern Aleutian volcanoes. Earthchem data submission.",WESTDAHL,WD15DJR32_WD32MI04A,46.52,1.84,17.9,10.1,0.19,4.01,11.67,3.11,0.55,0.2,,,Glass
"de Maisonneuve, C.B., Dungan, M.A., Bachmann, O. and Burgisser, A., 2012. Insights into shallow magma storage and crystallization at Volcán Llaima (Andean southern volcanic zone, Chile). Journal of Volcanology and Geothermal Research, 211, pp.76-91.",LLAIMA,8LM-331A_8LM-331A_E3,53.77,0.99,16.2,10.61,0.17,4.0,9.41,3.59,0.55,,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",AOGASHIMA,Aog-06_AOG-06_44B,50.76,1.03,14.56,14.19,0.27,4.96,9.21,2.11,0.2,0.08,,,Glass
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,S12-48_2-1,63.89,0.73,13.85,3.78,0.1,0.89,2.47,3.75,3.35,,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_BC-2-6-8-1,46.43,2.85,17.87,8.47,0.11,7.77,10.05,4.29,1.72,0.83,,,Glass
"Iddon, F. and Edmonds, M., 2020. Volatile?rich magmas distributed through the upper crust in the Main Ethiopian Rift. Geochemistry, Geophysics, Geosystems, 21(6), p.e2019GC008904.",KONE,Kone3)9_MI64,73.21,0.13,9.11,5.92,0.29,,0.2,5.2,4.23,,,,Glass
"Anderson, 1973, The before-eruption water content of some high-alumina magmas, Bull Volcaol. 37, doi: 10.1007/BF02596890",MT SHASTA,S-1-SHASTA QUADRANGLE_,56.4,1.2,15.1,7.2,,4.2,7.1,4.0,0.93,0.24,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_D47R5-MIN2-MI5 ,52.58,1.2,14.12,10.98,0.25,4.86,9.04,2.5,0.56,0.21,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",MARIANA TROUGH,WOK-17D_WOK17D_36,52.63,1.37,17.7,6.17,0.13,3.6,12.71,3.49,0.32,0.18,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",GUGUAN,D50-1-1_D50-1-1_6,46.05,0.77,15.17,11.4,0.18,8.77,12.77,1.46,0.39,0.07,,,Glass
Blundyetal2006,MT.ST.HELENS,KC518PFB_KCPL-19A,66.49,0.45,13.75,2.09,0.06,0.45,2.16,5.81,2.02,0.1,,,Glass
"Fourmentraux, C., Métrich, N., Bertagnini, A. and Rosi, M., 2012. Crystal fractionation, magma step ascent, and syn-eruptive mingling: the Averno 2 eruption (Phlegraean Fields, Italy). Contributions to Mineralogy and Petrology, 163(6), pp.1121-1137.",CAMPI FLEGREI,A2B_MI-12,59.66,0.46,17.48,2.68,0.16,0.08,1.24,5.8,6.67,0.03,,,Glass
"Kovalenko, D.V., Naumov, V.B., Prokofiev, V.Y., Ageeva, O.A., Andreeva, O.A., Kovaltchuk, E.V., Erofeeva, K.G. and Ugryumova, N.Y., 2017. Chemical composition of melts of the Early Eocene volcanic center at Cape Khairyuzova, western Kamchatka: Evidence from inclusions in minerals. Petrology, 25(1), pp.66-86.",,110/00_18,58.23,1.04,14.54,6.8,0.13,5.38,8.12,3.86,1.71,0.2,,,Glass
"Auer, S., Bindeman, I., Wallace, P., Ponomareva, V. and Portnyagin, M., 2009. The origin of hydrous, high-delta18O voluminous volcanism: diverse oxygen isotope values and high magmatic water contents within the volcanic record of Klyuchevskoy volcano, Kamchatka, Russia. Contributions to Mineralogy and Petrology, 157(2), p.209.",KLYUCHEVSKOY,300/63_5,50.25,1.13,17.23,8.53,0.12,5.42,8.85,3.4,0.66,0.2,,,Glass
"Wehrmann, H., Hoernle, K., Jacques, G., Garbe-Schönberg, D., Schumann, K., Mahlke, J. and Lara, L.E., 2014. Volatile (sulphur and chlorine), major, and trace element geochemistry of mafic to intermediate tephras from the Chilean Southern Volcanic Zone (33–43 S). International Journal of Earth Sciences, 103(7), pp.1945-1962.",MAIPO,CL216_CL216INC81,61.61,1.28,16.57,6.13,0.17,1.95,5.01,4.91,2.09,0.28,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_U1438D-57R4W-I1 ,52.5,1.33,15.08,10.99,0.34,5.05,10.02,2.55,0.66,0.06,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC09-15_RC-14-2-2-1,50.52,1.65,17.44,9.98,0.14,4.89,11.22,2.23,0.98,0.46,,,Glass
"Zimmer, M.M., Plank, T., Hauri, E.H., Yogodzinski, G.M., Stelling, P., Larsen, J., Singer, B., Jicha, B., Mandeville, C. and Nye, C.J., 2010. The role of water in generating the calc-alkaline trend: new volatile data for Aleutian magmas and a new tholeiitic index. Journal of Petrology, 51(12), pp.2411-2444. doi:10.1093/petrology/egq062",SEGUAM,SEG0701_plag1mi1,57.05,1.02,14.83,9.33,0.2,4.53,6.67,2.49,0.79,0.15,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-42X-1-36-38_116,72.53,0.41,12.5,2.72,0.05,0.48,2.53,3.45,1.46,0.14,,,Glass
