Citation,Volcano,Sample ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,NiO,Mineral
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,S82-30_1-41-A,71.72,0.29,13.29,1.97,,0.29,1.24,4.06,3.3,,,,Glass
"Brounce, M.N., Kelley, K.A. and Cottrell, E., 2014. Variations in Fe3+/? Fe of Mariana Arc basalts and mantle wedge f O2. Journal of Petrology, 55(12), pp.2513-2536.",SARIGAN,Sari15-04_23,47.46,0.66,15.46,8.65,0.15,6.24,13.94,1.31,0.23,0.08,,,Glass
"Mormone, A., Piochi, M., Bellatreccia, F., De Astis, G., Moretti, R., Della Ventura, G., Cavallo, A. and Mangiacapra, A., 2011. A CO2-rich magma source beneath the Phlegraean Volcanic District (Southern Italy): Evidence from a melt inclusion study. Chemical Geology, 287(1-2), pp.66-80.",CAMPI FLEGREI-SOLCHIARO,PRO 7/8_1D-MI2,47.3,1.18,15.6,10.2,0.16,6.4,12.1,3.02,3.37,0.65,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,BN1997-98_pt32 incl,48.49,2.01,16.33,10.91,0.16,3.3,8.41,4.94,2.92,1.03,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-41X-2-53-55_112,58.43,0.74,15.3,5.55,0.23,2.26,5.12,3.73,0.95,0.14,,,Glass
Blundyetal2006,SHIVELUCH,shiv01/#2_m12s22-2e,78.16,0.28,11.57,1.43,,0.34,0.64,4.49,3.12,,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_D47R5-MIN6-MI2 ,54.29,1.25,13.96,10.6,0.2,4.18,7.72,3.0,0.7,0.21,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-35X-6-146-147_103,67.76,0.16,15.4,1.3,0.19,0.23,3.09,4.15,2.01,0.05,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_EB-2-1-1,45.62,1.5,19.5,6.47,0.11,7.85,10.96,4.31,0.67,0.43,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-25X-4-111-113_68,73.58,0.25,11.7,1.56,0.12,0.29,2.01,3.46,0.85,0.06,,,Glass
"Iddon, F. and Edmonds, M., 2020. Volatile?rich magmas distributed through the upper crust in the Main Ethiopian Rift. Geochemistry, Geophysics, Geosystems, 21(6), p.e2019GC008904.",KONE,Kone06_MI40,70.44,0.18,7.59,7.35,0.3,,0.22,6.62,3.87,,,,Glass
"Kovalenko, D.V., Naumov, V.B., Prokofiev, V.Y., Ageeva, O.A., Andreeva, O.A., Kovaltchuk, E.V., Erofeeva, K.G. and Ugryumova, N.Y., 2017. Chemical composition of melts of the Early Eocene volcanic center at Cape Khairyuzova, western Kamchatka: Evidence from inclusions in minerals. Petrology, 25(1), pp.66-86.",,110/00_49,57.83,0.98,12.37,7.23,0.18,4.36,8.09,3.61,1.98,0.35,,,Glass
Blundyetal2006,MT.ST.HELENS,KC807B_AUG-13-1,74.63,0.32,11.44,2.0,0.01,0.29,0.9,5.1,2.73,0.03,,,Glass
"Plechov, P., Blundy, J., Nekrylov, N., Melekhova, E., Shcherbakov, V. and Tikhonova, M. S., 2015. Petrology and volatile content of magmas erupted from Tolbachik Volcano, Kamchatka, 2012–13.",TOLBACHIK,KAM 12 (PK-13/7)_2-8,51.51,2.04,17.21,10.42,0.18,4.27,7.42,3.81,2.34,0.75,,,Glass
"Sisson, T.W. and Layne, G.D., 1993. H2O in basalt and basaltic andesite glass inclusions from four subduction-related volcanoes. Earth and Planetary Science Letters, 117(3-4), pp.619-635.",FUEGO,50-2_A-1,53.9,1.13,17.6,9.96,0.07,4.06,8.21,4.06,0.89,0.23,,,Glass
"Keith, M., Haase, K.M., Klemd, R., Smith, D.J., Schwarz-Schampera, U. and Bach, W., 2018. Constraints on the source of Cu in a submarine magmatic-hydrothermal system, Brothers volcano, Kermadec island arc. Contributions to Mineralogy and Petrology, 173(5), p.40.",BROTHERS,56DR-1_,68.43,0.99,14.19,4.18,0.1,1.08,3.18,3.95,2.28,0.3,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,SPV-4_SPV-4-2-3-1sp,47.42,1.53,15.26,9.46,0.16,9.35,11.5,2.61,0.59,0.46,,,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Plank, T., Arculus, R. 2018. Petrology Samples from the Submarine Tonga Arc Collected during the TELVE and NoToVE Cruises, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.1594/IEDA/100743",VOLCANO 7,LC-7-58-1_oliv22_mib,52.11,1.03,17.17,10.41,0.15,4.48,9.75,2.38,0.35,0.13,,,Glass
"Cassidy, M., Edmonds, M., Watt, S.F., Palmer, M.R. and Gernon, T.M., 2015. Origin of basalts by hybridization in andesite-dominated arcs. Journal of Petrology, 56(2), pp.325-346.",MONTSERRAT/SOUTH SOUFRIERE HILLS,SSH10_,60.3,0.81,15.8,5.49,,2.8,6.56,1.94,0.32,,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",NW-ROTA,HPD-480-S1_480-S1_42,53.66,1.16,15.84,8.78,0.19,4.74,8.87,3.07,1.04,0.19,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,HL03-1_03-045-6.1,49.07,2.04,16.13,8.57,0.06,8.07,10.84,4.04,0.76,0.39,,,Glass
"Wade, J.A., Plank, T., Melson, W.G., Soto, G.J. and Hauri, E.H., 2006. The volatile content of magmas from Arenal volcano, Costa Rica. Journal of Volcanology and Geothermal Research, 157(1-3), pp.94-120.",ARENAL-ET3,NMNH ET3a_NMNH ET3a,57.93,1.25,15.83,10.62,0.23,2.24,7.88,2.99,0.86,,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,CZ09-1_CZ-1-2-1-2,51.12,1.85,17.11,8.22,0.09,7.28,8.22,4.39,1.4,0.39,,,Glass
"Özdemir, Y., Blundy, J. and Güleç, N., 2011. The importance of fractional crystallization and magma mixing in controlling chemical differentiation at Süphan stratovolcano, eastern Anatolia, Turkey. Contributions to Mineralogy and Petrology, 162(3), pp.573-597.",SUPHAN,200510_PL8B,73.5,0.5,12.42,3.08,0.11,0.2,0.86,4.99,4.0,0.06,,,Glass
"Robidoux, P., Aiuppa, A., Rotolo, S.G., Rizzo, A.L., Hauri, E.H. and Frezzotti, M.L., 2017. Volatile contents of mafic-to-intermediate magmas at San Cristóbal volcano in Nicaragua. Lithos, 272, pp.147-163.",SAN CRISTOBAL,SC11D_SC11Dr1z2,42.8,0.92,17.8,11.9,0.35,5.88,11.63,2.41,0.35,0.32,,,Glass
"Barnes, J.D. and Straub, S.M., 2010. Chorine stable isotope variations in Izu Bonin tephra: implications for serpentinite subduction. Chemical Geology, 272(1-4), pp.62-74.",,782A-15X-4-16-18_33,61.52,0.74,13.6,7.66,0.13,2.38,5.95,3.03,0.54,0.15,,,Glass
"Portnyagin, M.V., Hoernle, K. & Mironov, N.L., Contrasting compositional trends of rocks and olivine-hosted melt inclusions from Cerro Negro volcano (Central America): implications for decompression-driven fractionation of hydrous magmas, Int J Earth Sci (Geol Rundsch) (2014) 103: 1963. https://doi.org/10.1007/s00531-012-0810-3",CERRO NEGRO,P2-3B_P2-3B-6,48.71,0.92,17.57,11.13,0.18,5.54,11.47,1.85,0.36,0.21,,,Glass
"Özdemir, Y., Blundy, J. and Güleç, N., 2011. The importance of fractional crystallization and magma mixing in controlling chemical differentiation at Süphan stratovolcano, eastern Anatolia, Turkey. Contributions to Mineralogy and Petrology, 162(3), pp.573-597.",SUPHAN,2006112_112_1,64.26,0.29,16.69,3.58,0.07,1.41,2.31,6.64,3.33,0.05,,,Glass
"Esposito, R. J. Bodnar, L. V. Danyushevsky, B. De Vivo, L. Fedele, J. Hunter, A. Lima, N. Shimizu; Volatile Evolution of Magma Associated with the Solchiaro Eruption in the Phlegrean Volcanic District (Italy), Journal of Petrology, Volume 52, Issue 12, 1 December 2011, Pages 2431–2460, https://doi.org/10.1093/petrology/egr051",CAMPI FLEGREI,RESC3_RESC3-O18-MA,50.32,1.12,17.01,6.28,0.16,3.89,7.53,2.81,3.77,0.52,0.03,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_D27R3B-MIN4-MI1 ,48.47,0.84,16.98,7.97,0.16,4.17,8.55,2.52,0.45,0.15,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,RC07-5_RC-5-3-6-1,47.19,1.8,17.86,8.77,0.13,9.76,10.87,3.03,0.66,0.33,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,HH09-1_HH-1-4-3-1,45.13,2.55,16.51,9.81,0.16,8.38,9.12,4.35,1.9,0.92,,,Glass
"Brandl, P.A., Hamada, M., Arculus, R.J., Johnson, K., Marsaglia, K.M., Savov, I.P., Ishizuka, O. and Li, H., 2017. The arc arises: The links between volcanic output, arc evolution and melt composition. Earth and Planetary Science Letters, 461, pp.73-84.",PALAU-KYUSHU RIDGE,U1438_E38R4-3-MI1 ,54.83,0.86,15.06,6.86,0.12,4.55,8.07,2.81,0.86,0.21,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_OOb1-8,53.71,0.24,10.34,7.44,0.16,11.61,9.94,1.1,0.3,,0.9,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Minopoli 1_cf13_cpx_202_1,52.88,1.11,17.91,6.67,0.19,2.06,5.87,3.37,6.3,0.15,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",WEST SUIYO VOLCANIC CHAIN,673-R22 Izx_673-R22mi46b ,51.31,1.27,17.08,7.43,0.13,4.39,10.49,3.84,0.8,0.3,,,Glass
"Keith, M., Haase, K.M., Klemd, R., Smith, D.J., Schwarz-Schampera, U. and Bach, W., 2018. Constraints on the source of Cu in a submarine magmatic-hydrothermal system, Brothers volcano, Kermadec island arc. Contributions to Mineralogy and Petrology, 173(5), p.40.",BROTHERS,65DR-2_,69.07,0.79,13.15,3.8,0.16,1.01,2.47,2.62,4.21,0.13,,,Glass
"Hudgins, T.R., Mukasa, S.B., Simon, A.C., Moore, G. and Barifaijo, E., 2015. Melt inclusion evidence for CO 2-rich melts beneath the western branch of the East African Rift: implications for long-term storage of volatiles in the deep lithospheric mantle. Contributions to Mineralogy and Petrology, 169(5), p.46.",BUFUMBIRA,08WR-8_08WR-8-21B,44.52,4.09,12.02,9.0,0.14,8.26,18.11,1.72,1.65,0.55,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_MMh1-33,56.1,0.1,7.47,9.64,0.19,16.98,5.43,1.12,0.25,,1.08,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",GUGUAN,D46-1-1_D46-1-1_21rh,49.03,0.85,15.85,6.89,0.13,9.24,12.02,2.18,0.53,0.15,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,CM02-2_03-058-11.1,49.68,1.18,17.67,5.86,0.07,8.02,10.84,3.3,1.92,0.45,,,Glass
"Sadofsky, S.J., Portnyagin, M., Hoernle, K. and van den Bogaard, P., 2008. Subduction cycling of volatiles and trace elements through the Central American volcanic arc: evidence from melt inclusions. Contributions to Mineralogy and Petrology, 155(4), pp.433-456. AND Wehrmann, H., Hoernle, K., Portnyagin, M., Wiedenbeck, M. and Heydolph, K., 2011. Volcanic CO2 output at the Central American subduction zone inferred from melt inclusions in olivine crystals from mafic tephras. Geochemistry, Geophysics, Geosystems, 12(6).",GRANADA,P2-58_P2-58-2-69,46.07,1.04,16.01,9.6,0.17,7.3,13.52,1.95,0.18,0.17,,,Glass
"Ruscitto, D.M., Wallace, P.J., Johnson, E.R., Kent, A.J.R. and Bindeman, I.N., 2010. Volatile contents of mafic magmas from cinder cones in the Central Oregon High Cascades: Implications for magma formation and mantle conditions in a hot arc. Earth and Planetary Science Letters, 298(1-2), pp.153-161.","HIGH CASCADES, TWIN CRATER",TC063A_1-G3,51.17,1.55,18.14,8.66,0.18,5.05,9.64,3.32,0.87,0.33,,,Glass
"Robidoux, P., Rotolo, S.G., Aiuppa, A., Lanzo, G. and Hauri, E.H., 2017. Geochemistry and volatile content of magmas feeding explosive eruptions at Telica volcano (Nicaragua). Journal of Volcanology and Geothermal Research, 341, pp.131-148.",TELICA,TEL04K_10C,53.4,0.99,16.08,9.23,0.2,3.45,6.58,2.7,1.59,0.22,,0.04,Glass
"Kovalenko, D.V., Naumov, V.B., Prokofiev, V.Y., Ageeva, O.A., Andreeva, O.A., Kovaltchuk, E.V., Erofeeva, K.G. and Ugryumova, N.Y., 2017. Chemical composition of melts of the Early Eocene volcanic center at Cape Khairyuzova, western Kamchatka: Evidence from inclusions in minerals. Petrology, 25(1), pp.66-86.",,110/00_6,54.95,0.7,16.28,6.15,0.12,5.47,9.06,4.11,1.71,0.23,,,Glass
"Portnyagin, M.V., Naumov, V.B., Mironov, N.L., Belousov, I.A. and Kononkova, N.N., 2011. Composition and evolution of the melts erupted in 1996 at Karymskoe Lake, Eastern Kamchatka: Evidence from inclusions in minerals. Geochemistry International, 49(11), pp.1085-1110.",KARYMSKY,KR96BV_KR96BV-22,53.9,1.08,16.27,9.76,0.19,3.52,6.8,3.9,1.04,0.08,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,BN1997-98_pt23 incl,47.71,1.37,18.41,10.29,0.2,3.43,8.76,4.72,3.09,0.89,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",HACHIJOJIMA,Hac-09_HAC-09_11,49.59,0.84,17.22,10.45,0.21,4.44,10.68,1.76,0.14,0.09,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,BC-2_Un  284  BC-2-5-3-1,44.53,2.56,17.61,9.44,0.1,7.87,10.24,3.83,1.59,0.78,,,Glass
Hartleyetal2018,HOLUHRAUN,H14a-6-MI1,49.45,1.68,13.39,12.2,0.24,7.62,11.54,2.15,0.2,0.18,0.0,0.03,Glass
Hartleyetal2014,LAKI,MHL-07_24_1,49.9,1.1234,16.7421,8.5453,0.1569,7.0617,14.0341,1.9482,0.0977,0.0789,0.0368,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Astroni 1_CF69_cpx_111_mi_2,57.37,0.48,17.83,3.31,0.11,0.55,2.26,4.54,8.28,0.1,,,Glass
"Druitt, T. H.,M. Mercier, L. Florentin, E. Deloule, N. Cluzel, T. Flaherty, E. Médard, A. Cadoux; Magma Storage and Extraction Associated with Plinian and Interplinian Activity at Santorini Caldera (Greece), Journal of Petrology, Volume 57, Issue 3, 1 March 2016, Pages 461–494, https://doi.org/10.1093/petrology/egw015",SANTORINI,S82-30_1-64-A,71.25,0.29,13.81,1.82,,0.27,1.29,4.35,3.44,,,,Glass
"Hudgins, T.R., Mukasa, S.B., Simon, A.C., Moore, G. and Barifaijo, E., 2015. Melt inclusion evidence for CO 2-rich melts beneath the western branch of the East African Rift: implications for long-term storage of volatiles in the deep lithospheric mantle. Contributions to Mineralogy and Petrology, 169(5), p.46.",BUFUMBIRA,08WR-8_08WR-8-4,41.86,4.22,10.87,10.74,0.16,9.52,16.35,2.34,3.52,0.61,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",NW-ROTA,HPD-488-R16_488-R16_22,52.74,1.16,20.35,3.42,0.12,0.93,11.1,2.6,0.81,0.23,,,Glass
"Sadofsky, S.J., Portnyagin, M., Hoernle, K. and van den Bogaard, P., 2008. Subduction cycling of volatiles and trace elements through the Central American volcanic arc: evidence from melt inclusions. Contributions to Mineralogy and Petrology, 155(4), pp.433-456. AND Wehrmann, H., Hoernle, K., Portnyagin, M., Wiedenbeck, M. and Heydolph, K., 2011. Volcanic CO2 output at the Central American subduction zone inferred from melt inclusions in olivine crystals from mafic tephras. Geochemistry, Geophysics, Geosystems, 12(6).",SANTA MARIA,GU-19d_GU-19d-s6,48.04,0.95,17.54,6.81,0.11,2.39,9.4,3.56,1.03,0.22,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_MOy2-11,55.35,0.08,7.9,8.59,0.19,16.84,5.48,1.42,0.44,,0.89,,Glass
"Corsaro, R.A. and Métrich, N., 2016. Chemical heterogeneity of Mt. Etna magmas in the last 15 ka. Inferences on their mantle sources. Lithos, 252, pp.123-134.",ETNA,NEC 060696_OL38,50.07,1.59,19.07,8.63,,2.61,9.05,4.67,2.38,0.77,,,Glass
"Anderson, 1979, Water in some hypersthenic magmas",PAVLOF,G(P7-2)_9-1-1,60.4,1.17,20.5,4.6,,1.5,5.6,4.6,1.3,,,,Glass
Hartleyetal2014,LAKI,MHL-05_+4_2,49.3499,3.1354,13.0324,13.7514,0.2361,5.4825,9.9145,2.9387,0.4455,0.3443,0.0034,,Glass
Hartleyetal2018,HOLUHRAUN,H14-8-MI2,49.33,1.54,14.29,11.56,0.21,7.39,11.91,2.07,0.21,0.16,,,Glass
"Rowe, M.C., Lassiter, J.C. and Goff, K., 2015. Basalt volatile fluctuations during continental rifting: An example from the Rio Grande Rift, USA. Geochemistry, Geophysics, Geosystems, 16(5), pp.1254-1273.",,UV09-2_UV-2-2-3-1,49.22,1.84,14.19,12.4,0.19,11.42,7.88,2.52,2.16,0.58,,,Glass
"Stock, M.J., Humphreys, M.C., Smith, V.C., Isaia, R., Brooker, R.A. and Pyle, D.M., 2018. Tracking volatile behaviour in sub-volcanic plumbing systems using apatite and glass: insights into pre-eruptive processes at Campi Flegrei, Italy. Journal of Petrology, 59(12), pp.2463-2492.",CAMPI FLEGREI,Minopoli 1_cf13_cpx_188_2,49.6,0.9,16.06,6.34,0.2,2.95,7.61,2.91,5.83,0.55,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.", WEST SUIYO VOLCANIC CHAIN,663-R02 Izx_663-R02mi69 ,52.18,0.77,14.63,11.65,0.3,6.42,7.61,2.69,0.47,0.11,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",NIIJIMA,Niij-04_NIJ-04_13,53.94,1.11,15.7,8.15,0.18,5.46,6.69,3.12,0.98,0.22,,,Glass
Hartleyetal2014,LAKI,MHL-18_39_2,50.0574,3.2521,13.938,11.7883,0.2831,4.5326,11.4177,3.1948,0.4921,0.3336,,,Glass
"Ruscitto, D.M., Wallace, P.J., Johnson, E.R., Kent, A.J.R. and Bindeman, I.N., 2010. Volatile contents of mafic magmas from cinder cones in the Central Oregon High Cascades: Implications for magma formation and mantle conditions in a hot arc. Earth and Planetary Science Letters, 298(1-2), pp.153-161.","HIGH CASCADES, BLUE LAKE MAAR",BL1_BL1-2,52.94,0.94,19.52,7.35,0.12,5.15,8.84,4.41,0.52,0.21,,,Glass
"Hauri, Plank, Fischer, Tamura and Ishizuka, 2021. Melt Inclusion data from the Marianas and Izu volcanic arcs, and Mariana Trough back-arc basin. EarthChem Library.",GUGUAN,AS03-GUGU-03_GUG-3_10 ,52.09,1.17,14.63,12.31,0.24,4.64,8.03,3.11,0.67,0.17,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,WF02-1_03-014b-11.1,47.8,1.74,17.37,7.5,0.1,8.6,11.42,3.58,0.45,0.49,,,Glass
"Ruth, Dawn C. S. , Elizabeth Cottrell, Joaquín A. Cortés, Katherine A. Kelley, Eliza S. Calder; From Passive Degassing to Violent Strombolian Eruption: the Case of the 2008 Eruption of Llaima Volcano, Chile, Journal of Petrology, Volume 57, Issue 9, 1 September 2016, Pages 1833–1864, https://doi.org/10.1093/petrology/egw063",LLAIMA,blk9-MA-1_blk9-MA-1,53.08,1.56,14.23,11.42,0.21,4.98,8.28,3.08,0.94,0.27,,,Glass
"Cooper, L.B. (2009) Volatiles in Tonga arc magmas and their role in unraveling subduction zone processes. Ph.D. Dissertation, Boston University and Plank, T., Arculus, R. 2018. Petrology Samples from the Submarine Tonga Arc Collected during the TELVE and NoToVE Cruises, Version 1.0. Interdisciplinary Earth Data Alliance (IEDA). https://doi.org/10.1594/IEDA/100743",VOLCANO 7,LC-7-58-1_oliv27_mia,53.51,0.94,15.75,10.92,0.2,3.73,8.98,2.46,0.34,0.14,,,Glass
"Iddon, F. and Edmonds, M., 2020. Volatile?rich magmas distributed through the upper crust in the Main Ethiopian Rift. Geochemistry, Geophysics, Geosystems, 21(6), p.e2019GC008904.",KONE,Kone16_MI42,47.63,2.67,16.26,11.57,0.23,4.68,10.95,2.27,1.58,0.67,,,Glass
"Rowe, M.C. and Lassiter, J.C., 2009. Chlorine enrichment in central Rio Grande Rift basaltic melt inclusions: Evidence for subduction modification of the lithospheric mantle. Geology, 37(5), pp.439-442.",,_O-1-2-8,44.08,1.33,15.04,12.66,0.23,6.76,9.13,3.66,1.64,1.16,,,Glass
Blundyetal2006,MT.ST.HELENS,KC807B_AUG-15-1,72.13,0.37,12.98,2.15,0.0,0.55,1.42,5.04,2.26,0.07,,,Glass
"Rasmussen, D.J., Plank, T.A., 2021. Melt inclusion data for the central-eastern Aleutian volcanoes. Earthchem data submission.",WESTDAHL,WD15DJR23_WD23MI01,46.75,1.88,18.34,10.64,0.2,3.76,12.23,3.24,0.42,0.2,,,Glass
"Rowe, M.C., Kent, A.J. and Nielsen, R.L., 2009. Subduction influence on oxygen fugacity and trace and volatile elements in basalts across the Cascade Volcanic Arc. Journal of Petrology, 50(1), pp.61-91.",,QV04-3b_04-050-19.1,49.36,1.81,15.02,6.91,0.09,5.8,10.93,1.81,2.16,1.31,,,Glass
"Moretti, R., Métrich, N., Arienzo, I., Di Renzo, V., Aiuppa, A. and Allard, P., 2018. Degassing vs. eruptive styles at Mt. Etna volcano (Sicily, Italy). Part I: Volatile stocking, gas fluxing, and the shift from low-energy to highly explosive basaltic eruptions. Chemical Geology, 482, pp.1-17.",ETNA,SEC Feb. 1999_BNC g3,48.03,1.93,16.67,9.74,0.36,3.46,7.98,5.35,3.07,1.01,,,Glass
"Tolstykh, M.L., Pevzner, M.M., Naumov, V.B., Babanskii, A.D. and Kononkova, N.N., 2015. Types of parental melts of pyroclastic rocks of various structural–age complexes of the Shiveluch volcanic massif, Kamchatka: Evidence from inclusions in minerals. Petrology, 23(5), pp.480-517.",SHIVELUCH,735-2a_25,64.92,0.94,15.49,4.36,0.12,1.72,2.76,5.45,2.55,0.56,,,Glass
"Umino, S., Kanayama, K., Kitamura, K., Tamura, A., Ishizuka, O., Senda, R. and Arai, S., 2018. Did boninite originate from the heterogeneous mantle with recycled ancient slab?. Island Arc, 27(1), p.e12221.",,_ONk1-9,57.26,0.06,11.21,7.04,0.21,10.5,10.97,1.72,0.35,,0.5,,Glass
Hartleyetal2018,HOLUHRAUN,H14a-12-MI1,49.38,1.4,13.84,11.14,0.19,8.09,12.45,2.07,0.21,0.08,0.02,0.02,Glass
Blundyetal2006,MT.ST.HELENS,USNM 115418-42_418-42-b8-2,72.36,0.39,12.26,2.25,0.1,0.61,1.31,4.91,2.47,0.08,,,Glass
