,Sample Name,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Mineral
43249,AC4_EUH11S_P,38.76369,0.011857,0.009564,21.85054,0.323732,38.8329,0.131058,,,0.005436,1.5e-05,Olivine
43250,AC4_EUH11S_P,38.65015,0.015563,0.010277,21.85685,0.316396,38.85221,0.133494,,,0.013149,0.003363,Olivine
43251,AC4_EUH11S_P,38.98803,0.016622,0.011473,21.85134,0.320303,38.67397,0.13102,,,0.007858,0.00438,Olivine
43252,AC4_RH3_OL3,37.97728,0.020031,0.007121,22.96873,0.3535,38.14554,0.14054,,,0.005132,1.5e-05,Olivine
43253,AC4_RH3_OL1_MI1,37.80082,0.016551,0.006042,24.75992,0.440641,36.37172,0.141707,,,0.007403,0.000562,Olivine
43254,AC4_RH3_OL1_MI2,37.41902,0.018604,0.006941,24.98341,0.42894,37.09171,0.140301,,,0.015032,1.5e-05,Olivine
43255,AC4_RH1_OL3_MI1,38.23286,0.015588,0.006064,24.41826,0.405726,36.79133,0.149255,,,0.013599,0.007552,Olivine
43256,AC4_RH1_OL3_MI2,37.55661,0.012195,0.008332,24.94677,0.396571,37.64384,0.152878,,,0.00303,1.5e-05,Olivine
43257,AC4_RH1_OL1,38.19872,0.02085,0.006333,24.45246,0.416428,36.45178,0.165244,,,0.01383,1.5e-05,Olivine
43258,AC4_EUH102,38.43874,0.017852,0.009862,23.72406,0.399025,37.99234,0.163467,,,0.006532,1.5e-05,Olivine
43259,AC4_EUH33,37.83724,0.014316,0.010001,26.44422,0.491062,35.82894,0.140574,,,0.005895,1.5e-05,Olivine
43260,AC4_OL51,38.23555,0.018773,0.007701,24.89707,0.432025,35.84179,0.149127,,,0.008446,0.003628,Olivine
43261,AC4_RH1_OL3_S_core,38.34606,0.012751,0.006765,24.56542,0.393267,37.87169,0.130484,,,0.018668,1.5e-05,Olivine
43262,AC4_RH1_OL3_S_core,38.4762,0.013765,0.005552,24.32991,0.389292,37.90934,0.131514,,,0.016713,1.5e-05,Olivine
43263,AC4_RH1_OL3_S_core,37.88082,0.015186,0.007096,24.03109,0.383682,37.97281,0.127921,,,0.013256,2.6e-05,Olivine
43264,AC4_RH1_OL3_S_core,38.28508,0.015192,0.007041,24.26523,0.389609,37.87082,0.137499,,,0.014785,0.001584,Olivine
43265,AC4_RH1_OL3_S_core,38.68893,0.013591,0.008198,24.15472,0.382877,37.78843,0.137668,,,0.014123,0.007354,Olivine
43266,AC4_RH1_OL3_S_core,38.55282,0.015774,0.008652,23.56837,0.380887,36.88295,0.135106,,,0.014831,0.000586,Olivine
43267,AC4_RH1_OL3_S_core,37.949,0.032664,0.037106,24.50143,0.369827,37.47961,0.162621,,,0.006676,0.002655,Olivine
43268,AC4_RH1_OL3_S_core,38.14171,0.013159,0.00701,23.78583,0.386388,37.65757,0.123684,,,0.01124,1.5e-05,Olivine
43269,AC4_RH1_OL3_S_core,37.87355,0.013288,0.007652,23.92214,0.377012,37.66062,0.126094,,,0.015924,1.5e-05,Olivine
43270,AC4_OL51_P,38.0053,0.010662,0.008183,24.58883,0.413862,36.95095,0.120858,,,0.002662,0.007586,Olivine
43271,AC4_OL51_P,37.99627,0.013815,0.009825,24.36691,0.40483,35.8221,0.149048,,,0.004128,0.002996,Olivine
43272,AC4_OL51_P,37.98917,0.0124,0.007743,24.69995,0.419412,37.04441,0.123297,,,0.010738,1.5e-05,Olivine
43273,AC4_OL51_P,37.87397,0.015622,0.010195,24.89103,0.416123,36.95537,0.136194,,,0.005012,1.5e-05,Olivine
43274,AC4_OL51_P,37.91144,0.013358,0.005093,24.41108,0.409577,37.09987,0.137737,,,0.009587,0.004919,Olivine
43275,AC4_OL51_P,37.83458,0.014178,0.007693,24.62328,0.407702,37.16803,0.129739,,,0.005272,1.5e-05,Olivine
43276,AC4_OL51_P,37.77677,0.013585,0.009649,24.10188,0.410703,37.08664,0.125773,,,0.006826,1.5e-05,Olivine
43277,AC4_EUH7_Core,37.97403,0.014577,0.007367,25.43364,0.438814,36.77335,0.126133,,,0.007283,0.003888,Olivine
43278,AC4_EUH7_Core,38.57433,0.013687,0.008384,25.06052,0.434536,36.4865,0.126563,,,0.002129,1.5e-05,Olivine
43279,AC4_EUH7_Core,38.51657,0.015786,0.009161,24.85937,0.426147,36.50834,0.128876,,,0.006833,1.5e-05,Olivine
43280,AC4_EUH7_Core,38.02538,0.01389,0.007914,24.92353,0.425331,36.49183,0.126058,,,0.005537,1.5e-05,Olivine
43281,AC4_EUH7_Core,38.03284,0.01484,0.008928,25.00662,0.425981,36.7835,0.129561,,,0.006687,1.5e-05,Olivine
43282,AC4_EUH78_Core,37.83201,0.011466,0.009092,23.3998,0.348378,38.83203,0.129214,,,0.011466,0.000614,Olivine
43283,AC4_EUH78_Core,37.80457,0.013912,0.010853,23.42579,0.350353,38.87025,0.132681,,,0.015758,0.001124,Olivine
43284,AC4_EUH78_Core,37.66357,0.015962,0.011533,23.27571,0.355984,38.79543,0.136439,,,0.011607,0.006836,Olivine
43285,AC4_EUH78_Core,37.83535,0.012743,0.009838,23.39167,0.3601,38.68778,0.129902,,,0.011094,0.002614,Olivine
43286,AC4_OL51,37.69046,0.019124,0.007253,25.22185,0.436842,36.2305,0.141824,,,0.01069,1.5e-05,Olivine
43287,AC4_OL41_C,37.87669,0.015555,0.006239,25.94933,0.463516,36.46989,0.131286,,,0.009162,1.5e-05,Olivine
43288,AC4_OL41_R,38.08792,0.015095,0.009035,25.73421,0.448991,36.37384,0.15013,,,0.005466,1.5e-05,Olivine
43289,AC4_OL48_C,38.18768,0.014683,0.007151,24.21327,0.39299,36.96284,0.12041,,,0.010719,1.5e-05,Olivine
43290,AC4_OL48_R,37.37722,0.032256,0.007616,26.03141,0.48478,35.54692,0.159251,,,0.005957,0.004319,Olivine
43291,AC4_OL82_C,38.04283,0.014042,0.008003,24.89883,0.422723,36.40144,0.135999,,,0.004842,1.5e-05,Olivine
43292,AC4_OL82_R,37.78479,0.018594,0.007282,26.39538,0.501539,35.72846,0.147793,,,0.005565,0.001403,Olivine
43293,AC4_EUH78_P,36.76494,0.016284,0.005907,25.79661,0.495478,36.05607,0.146222,,,0.003808,0.004035,Olivine
