,entity_id,Mineral,method,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,NN_Labels,NN_Labels_Test
428,59739,Amphibole,EMP,39.36,5.33,14.8,0.01,12.88,0.01,11.67,,,8.84,3.73,0.03,,Amphibole,Amphibole
429,59740,Amphibole,EMP,39.86,5.44,15.53,0.0,11.78,0.0,11.18,,,9.2,3.39,0.747,,Amphibole,Amphibole
430,59741,Amphibole,EMP,39.64,5.19,15.44,0.01,13.8,0.01,10.36,,,9.91,2.8,1.2,,Amphibole,Amphibole
431,59742,Amphibole,EMP,38.71,3.66,15.4,0.0,19.72,0.01,6.35,,,9.95,2.55,1.66,,Amphibole,Amphibole
432,59743,Amphibole,EMP,40.26,5.99,13.63,0.04,14.46,0.22,9.96,,,9.42,3.16,1.3,,Amphibole,Amphibole
433,59744,Amphibole,EMP,38.73,4.94,14.94,0.01,16.35,0.01,8.93,,,9.66,2.93,1.19,,Amphibole,Amphibole
434,59745,Amphibole,EMP,38.06,5.78,15.0,0.0,14.26,0.0,9.04,,,9.86,3.04,1.37,,Amphibole,Amphibole
435,59746,Amphibole,EMP,38.87,5.71,15.94,0.0,13.84,0.0,9.92,,,10.37,3.0,1.38,,Amphibole,Amphibole
436,59747,Amphibole,EMP,39.89,5.72,14.53,0.0,12.94,0.01,11.02,,,10.28,2.75,1.44,,Amphibole,Amphibole
437,59748,Amphibole,EMP,40.08,5.03,13.87,0.01,15.33,0.0,10.5,,,9.56,2.85,1.18,,Amphibole,Amphibole
438,59749,Amphibole,EMP,39.55,4.39,13.66,0.03,15.27,0.0,9.3,,,10.09,3.15,1.27,,Amphibole,Amphibole
439,59750,Amphibole,EMP,39.24,5.59,15.22,0.01,13.75,0.01,10.62,,,9.62,2.68,1.42,,Amphibole,Amphibole
440,59751,Amphibole,EMP,43.44,3.86,12.35,0.01,4.82,0.01,18.17,,,11.32,2.62,1.55,,Amphibole,Amphibole
441,59752,Amphibole,EMP,38.7,2.94,15.16,0.0,19.06,0.02,8.14,,,9.57,2.96,1.27,,Amphibole,Amphibole
442,59753,Amphibole,EMP,38.6,3.84,15.56,0.01,16.56,0.01,9.34,,,9.71,2.79,1.36,,Amphibole,Amphibole
443,59754,Amphibole,EMP,37.97,5.41,14.53,0.0,15.96,0.0,9.14,,,9.92,2.74,1.53,,Amphibole,Amphibole
444,59755,Amphibole,EMP,39.75,6.35,14.29,0.0,7.93,0.0,13.89,,,10.71,2.87,1.47,,Amphibole,Amphibole
445,59756,Amphibole,EMP,40.44,6.11,14.36,0.02,3.77,0.0,16.39,,,11.01,3.16,1.14,,Amphibole,Amphibole
446,59757,Amphibole,EMP,40.4,6.17,15.27,0.0,0.0,0.0,18.39,,,11.51,3.21,1.16,,Amphibole,Amphibole
447,59758,Amphibole,EMP,39.82,6.04,14.27,0.0,14.27,0.02,10.47,,,10.05,4.04,0.05,,Amphibole,Amphibole
448,59759,Amphibole,EMP,39.45,5.1,14.74,0.01,13.7,0.0,10.91,,,10.4,3.22,0.94,,Amphibole,Amphibole
449,59760,Amphibole,EMP,40.4,4.2,13.41,0.03,12.25,0.01,12.64,,,11.19,2.36,1.77,,Amphibole,Amphibole
450,59940,Amphibole,EMP,40.65,3.56,15.46,0.0,4.98,0.0,16.29,,,11.86,2.13,1.83,,Amphibole,Amphibole
451,59941,Amphibole,EMP,41.28,2.13,16.05,0.0,5.03,0.0,16.99,,,11.21,2.14,2.22,,Amphibole,Amphibole
452,59942,Amphibole,EMP,42.59,2.12,15.43,0.0,2.5,0.0,18.5,,,11.69,1.91,2.54,,Amphibole,Amphibole
453,59943,Amphibole,EMP,40.23,3.78,16.18,0.0,5.15,0.0,16.27,,,12.08,1.86,2.21,,Amphibole,Amphibole
454,59944,Amphibole,EMP,40.9,1.79,15.93,0.0,4.67,0.0,17.27,,,12.23,1.8,2.77,,Amphibole,Amphibole
455,59945,Amphibole,EMP,40.23,3.19,15.41,0.0,5.79,0.0,16.4,,,12.5,1.86,2.38,,Amphibole,Amphibole
456,59946,Amphibole,EMP,43.42,2.59,11.89,0.0,8.06,0.12,16.73,,,10.67,3.05,1.15,,Amphibole,Amphibole
457,59947,Amphibole,EMP,42.24,2.17,13.72,0.0,8.8,0.11,15.95,,,10.75,2.74,1.06,,Amphibole,Amphibole
458,59948,Amphibole,EMP,41.6,1.66,14.54,0.0,11.94,0.15,13.59,,,10.11,2.77,1.08,,Amphibole,Amphibole
459,60394,Amphibole,EMP,48.96,0.44,7.52,0.01,9.62,0.17,17.22,0.21,,6.06,6.12,0.0,,Amphibole,Amphibole
461,61538,Amphibole,EMP,42.54,3.19,11.49,0.0,13.63,0.18,11.62,,,10.7,2.35,0.54,,Amphibole,Amphibole
462,61539,Amphibole,EMP,41.78,3.01,12.14,0.0,11.31,0.15,13.52,,,11.57,2.12,0.52,,Amphibole,Amphibole
463,61540,Amphibole,EMP,40.76,3.26,13.81,0.0,13.6,0.16,11.3,,,10.64,2.6,0.66,,Amphibole,Amphibole
464,61541,Amphibole,EMP,39.65,5.73,14.64,0.0,11.72,0.12,12.06,,,8.98,2.88,0.46,,Amphibole,Amphibole
465,61542,Amphibole,EMP,40.22,3.56,15.27,0.0,9.72,0.12,12.76,,,10.59,2.36,2.0,,Amphibole,Amphibole
466,64140,Amphibole,EMP,43.61,1.29,16.79,0.75,7.12,0.0,14.83,,,7.73,5.07,0.62,,Amphibole,Amphibole
467,64141,Amphibole,EMP,41.77,1.52,16.03,0.56,7.0,0.0,15.14,,,7.97,4.82,0.58,,Amphibole,Amphibole
468,64142,Amphibole,EMP,41.91,1.76,15.4,0.42,6.99,0.0,16.57,,,9.28,4.41,0.45,,Amphibole,Amphibole
469,64568,Amphibole,EMP,42.01,0.99,13.55,0.02,8.77,0.01,15.59,0.02,,11.96,2.4,0.14,,Amphibole,Amphibole
470,64569,Amphibole,EMP,43.9,1.71,13.43,0.44,5.89,0.25,16.15,0.02,,10.55,2.85,1.09,,Amphibole,Amphibole
471,64570,Amphibole,EMP,42.31,1.56,13.44,0.15,9.16,0.34,15.5,0.11,,10.54,2.8,0.79,,Amphibole,Amphibole
472,64571,Amphibole,EMP,42.06,1.67,12.64,0.11,8.11,0.26,16.21,0.08,,11.37,2.61,0.75,,Amphibole,Amphibole
473,64572,Amphibole,EMP,42.61,1.62,12.49,0.24,7.98,0.31,16.29,0.13,,11.3,2.54,0.78,,Amphibole,Amphibole
474,64573,Amphibole,EMP,40.46,1.39,14.2,0.11,10.26,0.44,14.27,0.09,,11.13,2.63,0.67,,Amphibole,Amphibole
475,64574,Amphibole,EMP,41.36,1.85,15.47,0.08,12.43,0.44,11.74,0.05,,9.46,3.3,1.01,,Amphibole,Amphibole
476,64575,Amphibole,EMP,44.21,0.59,11.15,0.16,8.71,0.04,17.13,0.25,,10.82,2.38,0.37,,Amphibole,Amphibole
477,64576,Amphibole,EMP,46.77,1.45,9.88,1.56,2.68,0.04,19.75,0.03,,11.3,2.1,0.31,,Amphibole,Amphibole
478,64577,Amphibole,EMP,42.11,2.17,12.27,0.09,16.28,0.03,11.03,0.02,,9.14,2.35,0.37,,Amphibole,Amphibole
479,65941,Amphibole,EMP,43.1,3.41,12.75,0.0,7.25,0.14,16.64,,,9.8,3.4,0.61,0.0,Amphibole,Amphibole
480,70302,Amphibole,EMP,47.168375,1.14614875,9.762525,0.0,9.50463125,0.7106725,16.982625,,,11.466525,1.56427,0.1022825,,Amphibole,Amphibole
481,70303,Amphibole,EMP,46.25349167,1.424403333,10.216825,0.0,9.258631667,0.760909167,16.68449167,,,11.52921667,1.689096667,0.131920833,,Amphibole,Amphibole
482,70304,Amphibole,EMP,46.05728,0.970652,8.834278,0.0,10.80894,0.63379,16.26682,,,11.46772,1.989504,0.16612,,Amphibole,Amphibole
483,70305,Amphibole,EMP,46.32983333,1.490333333,8.807166667,0.0,10.574,0.377,16.0985,,,11.0925,1.7435,0.124166667,,Amphibole,Amphibole
484,70306,Amphibole,EMP,46.25432653,1.039142857,9.817690167,0.0,9.38880705,0.557569573,16.59567718,,,11.59436364,1.63425974,0.114751391,,Amphibole,Amphibole
485,70307,Amphibole,EMP,46.15755556,1.138,9.729,0.0,10.00144444,0.488777778,16.44433333,,,11.299,1.715777778,0.130777778,,Amphibole,Amphibole
486,70308,Amphibole,EMP,45.70727855,1.559344482,9.525173402,0.0,13.1928483,0.681178314,13.98068713,,,10.84034571,1.747685754,0.135499231,,Amphibole,Amphibole
487,70309,Amphibole,EMP,44.87126,1.292255333,10.4917,0.0,13.97616,0.910983333,13.56404,,,10.71129333,1.671654,0.134774667,,Amphibole,Amphibole
488,70310,Amphibole,EMP,45.98275,1.143773,9.79012,0.0,9.038669,0.453985,17.15523,,,12.06745,1.735242,0.138053,,Amphibole,Amphibole
489,70311,Amphibole,EMP,46.28214545,1.06872,10.27119273,0.0,9.157889091,0.455516364,16.7381,,,11.81493636,1.699096364,0.14156,,Amphibole,Amphibole
490,70312,Amphibole,EMP,45.48316667,1.098943333,10.31013333,0.0,9.329283333,0.568416667,16.522,,,11.7345,1.76731,0.173053333,,Amphibole,Amphibole
491,70313,Amphibole,EMP,47.17135455,0.52315,9.498079091,0.0,7.151037273,0.394975455,18.68669091,,,12.15207273,2.287627273,0.206441818,,Amphibole,Amphibole
492,70314,Amphibole,EMP,46.42906667,0.642193333,9.90205,0.0,7.665196667,0.45715,17.9779,,,12.19336667,2.157533333,0.211743333,,Amphibole,Amphibole
493,70315,Amphibole,EMP,46.9798625,0.74198,9.80214875,0.0,7.197236875,0.37139875,18.23506875,,,12.2986125,1.59005125,0.140529375,,Amphibole,Amphibole
494,70316,Amphibole,EMP,47.39867273,0.657966364,9.589180909,0.0,6.981487273,0.413269091,18.56614545,,,12.38400909,1.496575455,0.122028182,,Amphibole,Amphibole
495,70317,Amphibole,EMP,45.50382727,1.302665455,9.64783,0.0,12.94221818,0.443246364,14.70297273,,,11.61191818,1.708260909,0.137157273,,Amphibole,Amphibole
496,70318,Amphibole,EMP,45.93974324,1.400849214,9.150855848,0.0,12.23595872,0.37479231,15.07940811,,,11.28193907,1.894465504,0.130985749,,Amphibole,Amphibole
497,70319,Amphibole,EMP,45.7298875,1.1333975,9.29546125,0.0,13.66565,0.50138,14.163175,,,11.468125,1.71069,0.1637625,,Amphibole,Amphibole
498,70320,Amphibole,EMP,45.6057,1.25963,9.17692,0.0,13.1947,0.49757,14.8962,,,10.4258,2.15126,0.16133,,Amphibole,Amphibole
